date,strategy_return,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_PR_uniform_excl,beta_const
2018-05-31,-0.08069722833623845,1.4449836152490985,0.6690419383931158,-0.7734442743877541,-1.2570373036230822,-0.46419304799614214,0.16315289899757807,-0.009049711564129988
2018-06-30,-0.004918234679535255,1.4425557773992512,0.5626463932736088,-0.6421230913988802,-1.116733691104476,-0.4713882217559139,0.18147772606495893,-0.011120849574633985
2018-07-31,0.04582102782038954,1.465691815660804,0.5304048975395194,-0.6877788706982196,-1.1350759278389324,-0.35806947267863243,0.17480412556911218,-0.011261075227853357
2018-08-31,-0.04539440923769937,1.510505738153296,0.49729408211314996,-0.6621321837963817,-1.0780653973373997,-0.3196101795323194,0.18358721667568928,-0.010388155287300329
2018-09-30,0.007489829650774561,1.5460979739814151,0.4725011389925924,-0.6580832522331074,-1.0914144633323193,-0.27683577857900915,0.18277162186184454,-0.011844962705552175
2018-10-31,0.021087665118727367,1.4463214314550514,0.37648166044944054,-0.6343620063861554,-1.0477155043481945,-0.2801735500442498,0.22199447837355846,-0.0067563024965656415
2018-11-30,0.01993866020944759,1.4774780410140145,0.285374254319017,-0.6347020098076174,-1.0747363830436183,-0.15753142379071333,0.23201157255674382,-0.005256254099345886
2018-12-31,0.017849211282896363,1.4658766025613188,0.28998238006047894,-0.6410237160995945,-1.2039153011252073,-0.17090834792950793,0.24417373343390292,-0.002836567489454495
2019-01-31,-0.010521678129943368,1.4561362090820467,0.32853195162672794,-0.5932504408482199,-1.17589513680242,-0.22664758419172826,0.23453383839065378,-0.00384472759919309
2019-02-28,-0.042644540763641256,1.4073310516696824,0.29959147427740496,-0.5714222992017226,-1.0474258985074525,-0.11964026419776327,0.21767905966845819,-0.002520253365788698
2019-03-31,-0.0297725443947088,1.388201029492456,0.28531958293838056,-0.5449762573547631,-0.9710564772549122,-0.032345471618779764,0.2011442994491993,-0.003385047888286778
2019-04-30,-0.08003356819798368,1.4681179310287293,0.29765541867869494,-0.4740509912761953,-0.9021224773512584,-0.029134635958318833,0.19921297377543212,-0.003309502659821835
2019-05-31,0.018625786892537244,1.4441481292334735,0.3362126288150219,-0.642062958890115,-1.0001497051576231,0.19364479943180277,0.20562970711033884,-0.004408894807131827
2019-06-30,-0.008879688785524864,1.4195053650051153,0.3480275040868095,-0.6802419348293061,-0.9781761401917828,0.27977802318954104,0.20529478096004017,-0.003947612806221948
2019-07-31,-0.041601627989488806,1.4403997354336477,0.4261747353028217,-0.8321840881518436,-0.7159315102586452,0.6315235836269681,0.16845596569570698,-0.003111246262113364
2019-08-31,-0.009540030444605777,1.4084816106114602,0.34874530535028747,-0.7989462822957059,-0.9091184077643003,0.6352286958420402,0.1415878380959087,-0.006236369057306684
2019-09-30,-0.0063689109416644706,1.390851917185144,0.3362643262183591,-0.6925064904542485,-1.0649305555431523,0.49452685507645816,0.15213076810482223,-0.004886027656300591
2019-10-31,0.04547266867315442,1.3934567417407822,0.3400924672554045,-0.6767854430619329,-1.0590902457854223,0.5418373798749249,0.14836846165879503,-0.0041363234509433616
2019-11-30,0.034182477657087804,1.3829456227664667,0.3093695712434865,-0.6158425301750057,-1.0554816779590066,0.44329744506741503,0.16073432801602705,-0.0018580706603953797
