date,IBB_return,XBI_return
2020-05-31,0.08661305964244637,0.10889809179706056
2020-06-30,0.014472359912292676,0.08101589695304567
2020-07-31,-0.01599715412551972,-0.023250769985718067
2020-08-31,0.009153795288835864,0.02268363292512432
2020-09-30,-0.0014010819574113986,-0.003398559362855713
2020-10-31,-0.034919930759336526,0.012800856131589988
2020-11-30,0.1099374438817391,0.18116515795493826
2020-12-31,0.04490263889933077,0.056907122986619374
2021-01-31,0.06085911731856375,0.08724644497784406
2021-02-28,-0.023095162582530193,-0.031920351085720555
2021-03-31,-0.040591070394488726,-0.0834460439882081
2021-04-30,0.028012911324380996,0.007428557724743046
2021-05-31,-0.017395494347686724,-0.062362848332811804
2021-06-30,0.07699908365315578,0.05698697498567573
2021-07-31,0.013160848622509658,-0.08855260413379817
2021-08-31,0.039208503640435266,0.07641188084104522
2021-09-30,-0.06152772050704158,-0.05367344478296143
2021-10-31,-0.012160549895948836,-0.007159382475804277
2021-11-30,-0.03370936610052022,-0.06842395368130127
2021-12-31,-0.010374638614684573,-0.037068868780208875
2022-01-31,-0.13578353606935867,-0.1655056807446058
2022-02-28,-0.04391002252423726,-0.0385312894220019
2022-03-31,0.03355264894798404,0.0005564682496310702
2022-04-30,-0.10393463329313479,-0.17857134018389165
2022-05-31,0.00017156935694551123,-0.06840027427431583
2022-06-30,0.008228361567544251,0.0798193825819502
2022-07-31,0.05510973436653899,0.09236579397490097
2022-08-31,-0.021115420455301348,0.03167743803179657
2022-09-30,-0.037049138248066216,-0.05232953580102373
2022-10-31,0.10095367064837846,0.03567815749609937
2022-11-30,0.06174660644380192,0.017894140651187218
2022-12-31,-0.038380089076325064,-0.007414500392872836
2023-01-31,0.04084850595515244,0.07108428446208115
2023-02-28,-0.06861968454068057,-0.06805395840868489
2023-03-31,0.015568453062336784,-0.08014491509818344
2023-04-30,0.010985138181882848,0.052355524556183086
2023-05-31,-0.03241124151011776,0.046383979606485326
2023-06-30,0.005384844204481709,-0.008579765864797806
2023-07-31,0.018557083325128065,0.013135720257088979
2023-08-31,-0.00463980160364208,-0.060386892144307924
2023-09-30,-0.04987971843876804,-0.0780301788201282
2023-10-31,-0.06924168247847262,-0.09298808429260841
2023-11-30,0.06377548796378862,0.1402685508111592
2023-12-31,0.12337715967874563,0.18233568435715175
