ticker,company_name,weight,as_of_date,survivorship_bias_flag
RGNX,REGENXBIO INC,0.160608,2026-04-14,True
VNDA,VANDA PHARMACEUTICALS INC,0.158942,2026-04-14,True
LXEO,LEXEO THERAPEUTICS INC,0.154807,2026-04-14,True
VSTM,VERASTEM INC,0.148541,2026-04-14,True
PRTA,PROTHENA CORP PLC,0.13207,2026-04-14,True
MYGN,MYRIAD GENETICS INC,0.129165,2026-04-14,True
ABUS,ARBUTUS BIOPHARMA CORP,0.129111,2026-04-14,True
IVVD,INVIVYD INC,0.126696,2026-04-14,True
RCKT,ROCKET PHARMACEUTICALS INC,0.123616,2026-04-14,True
OCGN,OCUGEN INC,0.121783,2026-04-14,True
MDXG,MIMEDX GROUP INC,0.116563,2026-04-14,True
AKBA,AKEBIA THERAPEUTICS INC,0.115644,2026-04-14,True
AVXL,ANAVEX LIFE SCIENCES CORP,0.107513,2026-04-14,True
CATX,PERSPECTIVE THERAPEUTICS INC,0.097098,2026-04-14,True
REPL,REPLIMUNE GROUP INC,0.048659,2026-04-14,True
DMRA,DAMORA THERAPEUTICS INC,0.03229,2026-04-14,True
