date,PR_uniform_excl,n_long,n_short,long_return,short_return
2018-05-31,-0.15455785182526843,16,13,0.11383541868058517,0.2683932705058536
2018-06-30,-0.09209543986444516,16,8,0.02674898963536205,0.1188444294998072
2018-07-31,0.041566425631296734,16,9,0.02728561914499917,-0.014280806486297565
2018-08-31,-0.06633816683911987,17,11,0.06690726322346903,0.1332454300625889
2018-09-30,-0.08371989506098845,16,14,-0.037059202823457704,0.046660692237530756
2018-10-31,0.018323096439330083,17,15,-0.14615070366937163,-0.16447380010870172
2018-11-30,-0.029190301345517127,17,17,-0.005214642080113831,0.023975659265403296
2018-12-31,0.062115458522580325,18,16,-0.1341980954631004,-0.19631355398568073
2019-01-31,-0.031101650349280432,18,19,0.10946031160549198,0.1405619619547724
2019-02-28,0.04116448624220165,19,17,0.05383237095846475,0.012667884716263103
2019-03-31,-0.012904304535083212,19,15,0.02802891186077619,0.0409332163958594
2019-04-30,-0.0736727363395483,19,14,-0.08626082293197328,-0.01258808659242498
2019-05-31,0.018244945645251726,20,14,-0.0760584429130472,-0.09430338855829892
2019-06-30,-0.06617254222507271,20,13,0.06180713728588746,0.12797967951096018
2019-07-31,-0.013559462568565037,20,14,0.008478775895075324,0.02203823846364036
2019-08-31,0.03331667889341629,20,15,-0.039931858338512496,-0.07324853723192878
2019-09-30,-0.11802093006878073,21,17,-0.07761745198631916,0.04040347808246158
2019-10-31,0.035219951181694964,21,17,0.07538397984627217,0.0401640286645772
2019-11-30,0.07407056096308359,21,18,0.16102044487715275,0.08694988391406916
2019-12-31,0.05495853421710745,21,17,0.11709405661057365,0.062135522393466196
2020-01-31,-0.10941456343530467,21,14,-0.030180425212231694,0.07923413822307299
2020-02-29,0.11994305343975323,22,20,0.0522559229441536,-0.06768713049559963
2020-03-31,0.10875700877266763,22,20,-0.08851639731452625,-0.19727340608719388
2020-04-30,0.013686876027437234,21,15,0.18468179835855714,0.1709949223311199
2020-05-31,-0.094734230346679,21,16,0.11304652854556807,0.20778075889224706
2020-06-30,-0.07848275687223166,21,19,0.06378589630947076,0.14226865318170243
2020-07-31,-0.37211473639277204,22,15,-0.06931495047919797,0.3027997859135741
2020-08-31,-0.10459166359597019,22,19,-0.04136181948924578,0.06322984410672441
2020-09-30,0.012216287625472964,23,20,-0.0425112940452,-0.054727581670672966
2020-10-31,-0.005247650500265558,23,19,0.04880267224641698,0.05405032274668254
2020-11-30,-0.12028486868746649,24,21,0.13826851421906286,0.25855338290652935
2020-12-31,-0.10348709565740065,24,20,0.0894976130248794,0.19298470868228004
2021-01-31,-0.01811280313158623,23,18,0.010914145553781791,0.029026948685368023
2021-02-28,0.03416148901402756,24,18,0.05400518821490468,0.019843699200877123
2021-03-31,0.0035758391495177913,24,23,-0.052286238940318586,-0.05586207808983638
2021-04-30,0.02257880627537071,24,23,0.006485535409631485,-0.016093270865739223
2021-05-31,0.031719684327298596,25,24,-0.049333866826954946,-0.08105355115425354
2021-06-30,0.040038137507719916,25,23,0.08454561501925342,0.04450747751153351
2021-07-31,0.02494070976371493,25,23,-0.0625876601076446,-0.08752836987135953
2021-08-31,-0.12364468214418267,26,28,0.026466667740013185,0.15011134988419586
2021-09-30,0.08259016814958545,26,25,-0.02536180769080284,-0.10795197584038828
2021-10-31,0.011847722882433995,26,25,-0.015467468544236168,-0.027315191426670164
2021-11-30,0.08873173836990228,26,27,-0.06916813232869296,-0.15789987069859523
2021-12-31,0.14817509496715375,26,25,0.07583130394549774,-0.07234379102165601
2022-01-31,0.13735863706416795,27,25,-0.09301641942140258,-0.23037505648557055
2022-02-28,0.1003445549497962,27,25,-0.01181749892364124,-0.11216205387343745
2022-03-31,0.05770484528230446,28,26,0.06230005703925058,0.004595211756946122
2022-04-30,0.08924852132867983,28,28,-0.11092047537433561,-0.20016899670301544
2022-05-31,-0.0035942241847363027,27,25,-0.07073609061774701,-0.0671418664330107
2022-06-30,-0.02313348347974635,27,27,0.07400062142972287,0.09713410490946922
2022-07-31,0.028963500151642285,28,25,0.14542160725727277,0.11645810710563048
2022-08-31,0.12134598164275925,28,23,0.09886641091287861,-0.022479570729880643
2022-09-30,0.004604737450998542,28,24,-0.046568222743557076,-0.05117296019455562
2022-10-31,-0.15687204466263083,28,29,0.008734298445550789,0.16560634310818162
2022-11-30,0.0446624671265583,29,29,0.061699157626876555,0.017036690500318252
2022-12-31,0.12661748905439354,29,32,0.1095780622240244,-0.017039426830369145
2023-01-31,-0.17765545476631367,30,28,0.03957099314969634,0.21722644791601
