iShares Biotechnology ETF
Fund Holdings as of,"Apr 13, 2026"
Inception Date,"Feb 05, 2001"
Shares Outstanding,"48,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","20,577,393.16","0.25","20,577,393.16","1,059,598.00","19.42","United States","NASDAQ","USD","1.00","USD","-"
"IDYA","IDEAYA BIOSCIENCES INC","Health Care","Equity","20,289,192.72","0.24","20,289,192.72","618,196.00","32.82","United States","NASDAQ","USD","1.00","USD","-"
"TXG","10X GENOMICS INC CLASS A","Health Care","Equity","19,930,193.28","0.24","19,930,193.28","845,216.00","23.58","United States","NASDAQ","USD","1.00","USD","-"
"ARQT","ARCUTIS BIOTHERAPEUTICS INC","Health Care","Equity","19,734,188.04","0.24","19,734,188.04","818,167.00","24.12","United States","NASDAQ","USD","1.00","USD","-"
"NAMS","NEWAMSTERDAM PHARMA NV","Health Care","Equity","19,575,725.00","0.24","19,575,725.00","540,020.00","36.25","United States","NASDAQ","USD","1.00","USD","-"
"EWTX","EDGEWISE THERAPEUTICS INC","Health Care","Equity","19,443,516.48","0.23","19,443,516.48","574,572.00","33.84","United States","NASDAQ","USD","1.00","USD","-"
"VCYT","VERACYTE INC","Health Care","Equity","18,872,002.44","0.23","18,872,002.44","581,751.00","32.44","United States","NASDAQ","USD","1.00","USD","-"
"IBRX","IMMUNITYBIO INC","Health Care","Equity","18,858,798.10","0.23","18,858,798.10","2,583,397.00","7.30","United States","NASDAQ","USD","1.00","USD","-"
"ORKA","ORUKA THERAPEUTICS INC","Health Care","Equity","18,757,421.10","0.23","18,757,421.10","305,595.00","61.38","United States","NASDAQ","USD","1.00","USD","-"
"VERA","VERA THERAPEUTICS INC CLASS A","Health Care","Equity","18,424,726.62","0.22","18,424,726.62","421,522.00","43.71","United States","NASDAQ","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS INC","Health Care","Equity","17,836,524.90","0.21","17,836,524.90","1,718,355.00","10.38","United States","NASDAQ","USD","1.00","USD","-"
"KOD","KODIAK SCIENCES INC","Health Care","Equity","17,794,644.65","0.21","17,794,644.65","424,187.00","41.95","United States","NASDAQ","USD","1.00","USD","-"
"DYN","DYNE THERAPEUTICS INC","Health Care","Equity","17,504,434.00","0.21","17,504,434.00","921,286.00","19.00","United States","NASDAQ","USD","1.00","USD","-"
"LEGN","LEGEND BIOTECH ADR REP CORP","Health Care","Equity","17,478,073.80","0.21","17,478,073.80","988,020.00","17.69","China","NASDAQ","USD","1.00","USD","-"
"CAI","CARIS LIFE SCIENCES INC","Health Care","Equity","17,250,343.59","0.21","17,250,343.59","901,743.00","19.13","United States","NASDAQ","USD","1.00","USD","-"
"BCRX","BIOCRYST PHARMACEUTICALS INC","Health Care","Equity","16,213,072.42","0.19","16,213,072.42","1,722,962.00","9.41","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","16,183,062.57","0.19","16,183,062.57","742,683.00","21.79","United States","NASDAQ","USD","1.00","USD","-"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Health Care","Equity","16,141,983.82","0.19","16,141,983.82","683,114.00","23.63","United States","NASDAQ","USD","1.00","USD","-"
"SMMT","SUMMIT THERAPEUTICS INC","Health Care","Equity","16,080,104.03","0.19","16,080,104.03","802,801.00","20.03","United States","NASDAQ","USD","1.00","USD","-"
"IMVT","IMMUNOVANT INC","Health Care","Equity","15,795,832.80","0.19","15,795,832.80","628,815.00","25.12","United States","NASDAQ","USD","1.00","USD","-"
"DFTX","DEFINIUM THERAPEUTICS INC","Health Care","Equity","15,707,476.50","0.19","15,707,476.50","705,954.00","22.25","United States","NASDAQ","USD","1.00","USD","-"
"ADPT","ADAPTIVE BIOTECHNOLOGIES CORP","Health Care","Equity","15,692,735.61","0.19","15,692,735.61","1,110,597.00","14.13","United States","NASDAQ","USD","1.00","USD","-"
"SNDX","SYNDAX PHARMACEUTICALS INC","Health Care","Equity","15,378,089.00","0.18","15,378,089.00","634,148.00","24.25","United States","NASDAQ","USD","1.00","USD","-"
"RLAY","RELAY THERAPEUTICS INC","Health Care","Equity","15,021,058.92","0.18","15,021,058.92","984,342.00","15.26","United States","NASDAQ","USD","1.00","USD","-"
"TNGX","TANGO THERAPEUTICS INC","Health Care","Equity","14,892,462.20","0.18","14,892,462.20","690,745.00","21.56","United States","NASDAQ","USD","1.00","USD","-"
"IRON","DISC MEDICINE INC","Health Care","Equity","14,772,367.26","0.18","14,772,367.26","215,781.00","68.46","United States","NASDAQ","USD","1.00","USD","-"
"ELVN","ENLIVEN THERAPEUTICS INC","Health Care","Equity","14,196,361.68","0.17","14,196,361.68","323,896.00","43.83","United States","NASDAQ","USD","1.00","USD","-"
"AUPH","AURINIA PHARMACEUTICALS INC","Health Care","Equity","14,100,230.32","0.17","14,100,230.32","877,972.00","16.06","United States","NASDAQ","USD","1.00","USD","-"
"ZYME","ZYMEWORKS INC","Health Care","Equity","13,927,281.45","0.17","13,927,281.45","532,185.00","26.17","United States","NASDAQ","USD","1.00","USD","-"
"RCUS","ARCUS BIOSCIENCES INC","Health Care","Equity","13,767,678.17","0.17","13,767,678.17","614,903.00","22.39","United States","NYSE","USD","1.00","USD","-"
"AGIO","AGIOS PHARMACEUTICALS INC","Health Care","Equity","13,318,045.65","0.16","13,318,045.65","401,751.00","33.15","United States","NASDAQ","USD","1.00","USD","-"
